url,Author,Title,Date,date_clean
https://www.texastribune.org/2018/10/09/presidio-wall-texas-border-mexico/,"BY SUHAUNA HUSSAIN, CENTER FOR PUBLIC INTEGRITY","How ""The Wall"" could kill a Texas city","OCT. 9, 2018",2018-10-09
https://www.texastribune.org/2018/10/10/austin-nondiscrimination-ordinance-lgbtq-lawsuits/,MATT ZDUN,Two conservative groups are suing Austin over its nondiscrimination ordinance. LGBTQ advocates say they're not worried.,"OCT. 10, 2018",2018-10-10
https://www.tribtalk.org/2018/10/12/texas-no-country-for-young-voters/,Mark P. Jones,Texas: No country for young voters?,"By Mark P. Jones,  Oct. 12, 2018",2018-10-12
https://www.texastribune.org/2018/10/11/west-texas-becomes-worlds-extraction-colony-oil-gas-exports-surge/,KIAH COLLIER,"As oil and gas exports surge, West Texas becomes the world’s “extraction colony”","OCT. 11, 2018",2018-10-11
https://www.texastribune.org/2018/10/11/hurricane-harvey-housing-damage-houston-2-billion/,KATHRYN LUNDSTROM,"Study says to fix Harvey-related housing damage, Houston needs $2 billion more in federal funds","OCT. 11, 2018",2018-10-11
https://www.texastribune.org/2018/10/16/how-washington-unleashed-fossil-fuel-exports-and-sold-out-climate/,"BY JIE JENNY ZOU, CENTER FOR PUBLIC INTEGRITY",How Washington unleashed fossil-fuel exports and sold out on climate,"OCT. 16, 2018",2018-10-16
https://www.texastribune.org/2018/10/09/texas-cps-aps-forgotten-caseworkers-legislators/,MARISSA EVANS,"Texas workers caring for elderly feel “treated like a stepchild” as caseload increases, pay stays the same","OCT. 9, 2018",2018-10-09
https://www.texastribune.org/2018/10/10/eviction-travis-county/,"BY AUDREY MCGLINCHY, KUT NEWS",Five days to vacate: How a sudden setback can lead to an eviction,"OCT. 10, 2018",2018-10-10
https://www.texastribune.org/2018/10/04/disclosures-give-details-personal-finances-ted-cruz-beto-orourke/,ABBY LIVINGSTON,Disclosures offer window into personal finances of Ted Cruz and Beto O'Rourke in Senate race,"OCT. 4, 2018",2018-10-04
https://www.texastribune.org/2018/10/09/texas-death-row-inmate-new-trial-junk-science/,EMMA PLATOFF,Judge recommends new trial for Texas death row inmate Rigoberto Avila,"OCT. 9, 2018",2018-10-09
