url,Author,Title,Date,date_clean
https://www.texastribune.org/2018/09/14/hurricane-florence-bears-down-east-coast-texas-faces-its-own-floods/,OMAR RODRIGUEZ-ORTIZ,"As Hurricane Florence bears down on East Coast, Texas faces flooding from Gulf Coast disturbance","SEPT. 14, 2018",2018-09-14
https://www.texastribune.org/2018/09/06/trump-administration-circumvent-court-limits-detention-child-migrants/,THE WASHINGTON POST,Trump administration to circumvent court limits on detention of child migrants,"SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/06/livestream-king-raymond/,OMAR RODRIGUEZ-ORTIZ,"Texas Reps. Tracy King and Richard Peña Raymond talk health care, school finance, border security and the next legislative session","SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/05/analysis-candidates-cussing-beto-orourke-ted-cruz-national-anthem/,ROSS RAMSEY,Analysis: Some voters want candidates who watch what they say. Some don’t.,"SEPT. 5, 2018",2018-09-05
https://www.texastribune.org/2018/09/11/alamo-texas-education-board/,KATHRYN LUNDSTROM,"Texas education board workgroup changes course on ""heroic"" Alamo defenders","SEPT. 11, 2018",2018-09-11
https://www.texastribune.org/2018/08/31/texas-education-agency-children-migrant-shelters/,TEO ARMUS,Texas says it won't fund education for children in shelters,"AUG. 31, 2018",2018-08-31
https://www.texastribune.org/2018/09/10/ut-texas-m-smu-rise-rice-and-baylor-slip-us-news-rankings/,SHANNON NAJMABADI,"UT-Austin, A&M, SMU and UH rise; Rice and Baylor slip in U.S. News rankings","SEPT. 10, 2018",2018-09-10
https://www.texastribune.org/2018/09/05/property-tax-relief-available-texas-homeowners-homestead-exemptions/,ALEX SAMUELS,"Lawmakers couldn't agree on property tax reform, but Texas homeowners can still get some relief","SEPT. 5, 2018",2018-09-05
https://www.texastribune.org/2018/09/06/after-ice-raid-north-texas-immigrants-face-uncertain-futures/,JULIÁN AGUILAR,"After ICE raid in North Texas, immigrants face uncertain futures","SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/06/john-cornyn-floats-ousting-cory-booker-senate-during-kavanaugh-hearing/,ABBY LIVINGSTON,John Cornyn floats ousting Cory Booker from Senate during Kavanaugh hearing,"SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/11/report-texas-rules-lax-cleanup-polluted-sites/,KIAH COLLIER,Report: Texas criteria for polluted site cleanup 'significantly weaker' than neighboring states,"SEPT. 11, 2018",2018-09-11
https://www.texastribune.org/2018/08/31/texas-education-agency-special-education-director/,ALIYYA SWABY,Texas Education Agency chooses familiar face to lead special education overhaul,"AUG. 31, 2018",2018-08-31
https://www.texastribune.org/2018/09/13/dallas-officer-amber-guyger-botham-jean-fatal-shooting/,THE WASHINGTON POST,"Why the Dallas officer who killed her neighbor might have trouble with a ""deadly force"" defense","SEPT. 13, 2018",2018-09-13
https://www.texastribune.org/2018/09/06/four-price-texas-house-speaker-candidate/,ALEX SAMUELS,State Rep. Four Price files to run for Texas House speaker,"SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/14/willie-nelson-beto-orourke-political-concert/,THE WASHINGTON POST,Willie Nelson is playing a political concert for Beto O’Rourke. Some fans are abandoning him.,"SEPT. 14, 2018",2018-09-14
https://www.texastribune.org/2018/09/13/texas-poverty-census-2017-lowest-levels-decade/,ALEXA URA,Poverty in Texas drops to lowest levels in more than a decade,"SEPT. 13, 2018",2018-09-13
https://www.texastribune.org/2018/09/04/supreme-court-brett-kavanaugh-texas-confirmation/,EMMA PLATOFF,Why Supreme Court Justice Brett Kavanaugh would be good news for Texas Republicans,"SEPT. 4, 2018",2018-09-04
https://www.texastribune.org/2018/09/05/state-audit-finds-serious-flaws-texas-education-agency-contracting-pro/,ALIYYA SWABY,State audit finds serious flaws in Texas Education Agency contracting process,"SEPT. 5, 2018",2018-09-05
https://www.texastribune.org/2018/09/06/texas-charter-schools-funding-education-migrant-shelters/,ALIYYA SWABY,Texas won't pay to educate migrant kids in shelters. Now two charter schools are scrambling.,"SEPT. 6, 2018",2018-09-06
https://www.texastribune.org/2018/09/14/border-patrol-working-stop-truck-drivers-smuggling-migrants/,HANNAH WILEY,The Border Patrol is trying to stop truck drivers from smuggling migrants. But cases have increased.,"SEPT. 14, 2018",2018-09-14
https://www.texastribune.org/2018/09/08/trumps-border-wall-threatens-end-texas-families-250-years-ranching-rio/,THE WASHINGTON POST,Trump’s border wall threatens to end Texas families’ 250 years of ranching on Rio Grande,"SEPT. 8, 2018",2018-09-08
https://www.texastribune.org/2018/09/10/robert-duncan-resigned-tensions-simmered-texas-tech-regents/,SHANNON NAJMABADI,"Before Robert Duncan resigned, tensions simmered with Texas Tech regents for months","SEPT. 10, 2018",2018-09-10
https://www.texastribune.org/2018/09/12/alamo-heroic-texas-education-board/,KATHRYN LUNDSTROM,"State Board of Education votes to keep ""heroic"" in description of Alamo defenders","SEPT. 12, 2018",2018-09-12
https://www.texastribune.org/2018/09/05/Dallas-County-Bail-Machine/,"BY MUSTAFA Z. MIRZA, THE MARSHALL PROJECT","In Dallas County, bail is set in secret — and often in seconds","SEPT. 5, 2018",2018-09-05
https://www.texastribune.org/2018/09/07/greg-abbott-texas-board-education-alamo-curriculum/,TEO ARMUS,Gov. Greg Abbott warns Texas education board of “political correctness” over Alamo history standards,"SEPT. 7, 2018",2018-09-07
https://www.texastribune.org/2018/09/13/texas-land-commissioner-george-p-bush-signs-plan-overhaul-alamo-plaza/,CASSANDRA POLLOCK,Texas Land Commissioner George P. Bush signs plan to overhaul Alamo Plaza,"SEPT. 13, 2018",2018-09-13
https://www.texastribune.org/2018/09/15/texas-border-patrol-agent-accused-serial-killing-spree-laredo/,MARISSA EVANS,"Texas Border Patrol agent accused of ""serial killing spree"" in Laredo","SEPT. 15, 2018",2018-09-15
https://www.texastribune.org/2018/09/11/texas-tea-considering-cutting-high-school-cosmetology-courses/,KATHRYN LUNDSTROM,Texas considering cutting high school cosmetology courses,"SEPT. 11, 2018",2018-09-11
https://www.texastribune.org/2018/09/18/republican-pete-flores-track-upset-race-democratic-friendly-uresti-sea/,PATRICK SVITEK,Republican Pete Flores upsets Democrat Pete Gallego in race for Uresti seat,"SEPT. 18, 2018",2018-09-18
https://www.texastribune.org/2018/09/17/texas-gop-determined-flip-democratic-friendly-state-senate-seat/,PATRICK SVITEK,GOP determined to flip Democratic-friendly state Senate seat in overtime round,"SEPT. 17, 2018",2018-09-17
https://www.texastribune.org/2018/09/18/ted-cruz-leads-beto-orourke-54-45-quinnipiac-poll-says/,PATRICK SVITEK,"Ted Cruz leads Beto O'Rourke 54 to 45, new poll says","SEPT. 18, 2018",2018-09-18
https://www.texastribune.org/2018/10/01/barack-obama-endorses-texas-candidates/,PATRICK SVITEK,Obama endorses 9 more Texas candidates in midterm races,"OCT. 1, 2018",2018-10-01
https://www.texastribune.org/2018/09/19/how-pete-flores-upset-democrat-win-texas-state-senate-seat/,PATRICK SVITEK,How Texas Democrats lost a state Senate seat amid talk of a blue wave,"SEPT. 19, 2018",2018-09-19
https://www.texastribune.org/2018/09/22/beto-orourke-ted-cruz-first-senate-debate-full-video/,ALANA ROCHA,Watch Ted Cruz and Beto O'Rourke in first Senate debate,"SEPT. 22, 2018",2018-09-22
https://www.texastribune.org/2018/09/28/greg-abbott-lupe-valdez-debate-watch/,PATRICK SVITEK,"Gov. Greg Abbott and challenger Lupe Valdez spar over arming teachers, Harvey recovery in debate","SEPT. 28, 2018",2018-09-28
https://www.texastribune.org/2018/09/19/beto-orourke-leads-cruz-new-poll-texas-senate-race/,KATHRYN LUNDSTROM,"Beto O’Rourke leads Ted Cruz by 2 among likely voters in U.S. Senate race, new poll finds","SEPT. 19, 2018",2018-09-19
https://www.texastribune.org/2018/09/21/ted-cruz-beto-orourke-debate-watch-texas-senate/,PATRICK SVITEK,"Ted Cruz and Beto O'Rourke clash over immigration, Trump, guns during intense debate","SEPT. 21, 2018",2018-09-21
https://www.texastribune.org/2018/09/19/analysis-neal-dikeman-voter-ted-cruz-beto-orourke-senate-texas/,ROSS RAMSEY,Analysis: Neal Dikeman’s voters could decide which Texan serves in the U.S. Senate,"SEPT. 19, 2018",2018-09-19
https://www.texastribune.org/2018/09/27/analysis-texas-senator-schwertner-bad-news-trickle-down/,ROSS RAMSEY,"Analysis: For state Sen. Charles Schwertner, bad news and a trickle-down effect","SEPT. 27, 2018",2018-09-27
https://www.texastribune.org/2018/09/26/will-hurd-gina-ortiz-jones-trump-record-cd-23/,PATRICK SVITEK,"In age of Trump, Republican U.S. Rep. Will Hurd's independence again on the ballot in 23rd District","SEPT. 26, 2018",2018-09-26
https://www.texastribune.org/2018/09/24/analysis-texas-republican-singing-blues/,ROSS RAMSEY,Analysis: A few Texas Republicans are singing the blues,"SEPT. 24, 2018",2018-09-24
https://www.texastribune.org/2018/09/27/beto-cruz-virtual-debate/,ALANA ROCHA,We set up a virtual debate between Beto O'Rourke and Ted Cruz. Hear where they stand.,"SEPT. 27, 2018",2018-09-27
https://www.texastribune.org/2018/09/20/miller-olson-split-decision/,ALANA ROCHA,"Trade wars, ""Meatless Mondays"" and BBQ. Texas Agriculture Commissioner candidates square off","SEPT. 20, 2018",2018-09-20
https://www.texastribune.org/2018/09/20/donald-trump-texas-republicans-endorsing-democrats/,CASSANDRA POLLOCK,"Some Texas Republicans are endorsing Democrats. Is it ""Texas over party"" or sour grapes?","SEPT. 20, 2018",2018-09-20
https://www.texastribune.org/2018/09/21/analysis-dan-patrick-reddest-texas-senate-ever/,ROSS RAMSEY,Analysis: Dan Patrick and the reddest Texas Senate ever,"SEPT. 21, 2018",2018-09-21
https://www.texastribune.org/2018/09/26/sexual-misconduct-allegation-jolts-sen-charles-schwertners-district/,MATT ZDUN,Sexual misconduct allegation jolts Texas Sen. Charles Schwertner's district,"SEPT. 26, 2018",2018-09-26
https://www.texastribune.org/2018/09/22/texas-ted-cruz-beto-orourke-debate-claims/,EMMA PLATOFF,"""Modern-day Jim Crow."" ""We're going to protect pre-existing conditions."" Here’s a closer look at claims made at Ted Cruz and Beto O'Rourke's debate.","SEPT. 22, 2018",2018-09-22
https://www.texastribune.org/2018/09/30/beto-orourke-nixed-debate-ad-facebook-live-ted-cruz/,PATRICK SVITEK,Beto O'Rourke uses nixed debate time slot to shoot ad on Facebook Live,"SEPT. 30, 2018",2018-09-30
https://www.texastribune.org/2018/09/19/ted-cruz-center-us-supreme-court-storm-after-kavanaugh-allegations/,ABBY LIVINGSTON,Ted Cruz at center of U.S. Supreme Court storm,"SEPT. 19, 2018",2018-09-19
https://www.texastribune.org/2018/09/27/texas-tribune-festival-live/,TEXAS TRIBUNE STAFF,Watch livestreams of the 2018 Texas Tribune Festival's featured events,"SEPT. 27, 2018",2018-09-27
https://www.texastribune.org/2018/09/27/ted-cruz-beto-orourke-fundraising-out-of-texas/,ALEX SAMUELS,How much money have Ted Cruz and Beto O'Rourke raised outside Texas? We don't know for sure.,"SEPT. 27, 2018",2018-09-27
https://www.texastribune.org/2018/09/20/mike-collier/,OMAR RODRIGUEZ-ORTIZ,Democratic lieutenant governor hopeful Mike Collier talks school funding and property taxes,"SEPT. 20, 2018",2018-09-20
https://www.texastribune.org/2018/10/01/greg-abbott-releases-tv-ad-featuring-family-survived-sutherland-spring/,PATRICK SVITEK,Abbott releases TV ad featuring family that survived Sutherland Springs shooting,"OCT. 1, 2018",2018-10-01
https://www.texastribune.org/2018/09/29/texas-tribune-festival-beto-orourke/,ABBY LIVINGSTON,"U.S. Rep. Beto O'Rourke discusses DWI, term limits","SEPT. 29, 2018",2018-09-29
https://www.texastribune.org/2018/09/29/nancy-pelosi-democrats-should-focus-healthcare-working-families/,EDGAR WALTERS,"Nancy Pelosi: Democrats should focus on health care, working families — not abolishing ICE","SEPT. 29, 2018",2018-09-29
https://www.texastribune.org/2018/09/27/texas-tribune-festival-john-kerry/,EMMA PLATOFF,John Kerry hails 2018 midterms as “greatest course-correction moment we’ve had in years”,"SEPT. 27, 2018",2018-09-27
https://www.texastribune.org/2018/09/24/sen-ted-cruz-texas-heckled-restaurant-over-kavanaugh-controversy/,ABBY LIVINGSTON,Ted Cruz heckled in Washington restaurant over Kavanaugh controversy,"SEPT. 24, 2018",2018-09-24
https://www.texastribune.org/2018/09/28/brett-kavanaugh-FBI-investigation-delay-vote/,MATTHEW WATKINS,Cornyn: Senate SCOTUS vote to be delayed while FBI investigates Kavanaugh,"SEPT. 28, 2018",2018-09-28
https://www.texastribune.org/2018/10/01/tribcast-live-texas-tribune-festival/,EMILY RAMSHAW,TribCast: Live from the Texas Tribune Festival,"OCT. 1, 2018",2018-10-01
https://www.texastribune.org/2018/09/28/texas-tribune-festival-michael-avenatti/,KATHRYN LUNDSTROM,"Michael Avenatti talks Brett Kavanaugh, 2020 run","SEPT. 28, 2018",2018-09-28
https://www.texastribune.org/2018/09/21/3d-printed-gun-designer-cody-wilson-reportedly-arrested-taiwan/,MATTHEW WATKINS,3D-printed gun designer Cody Wilson arrested in Taiwan,"SEPT. 21, 2018",2018-09-21
https://www.texastribune.org/2018/09/19/3d-printed-gun-designer-cody-wilson-charged-sexual-assault/,MATT ZDUN,3D-printed gun designer Cody Wilson is wanted on charge of sexually assaulting an underage girl,"SEPT. 19, 2018",2018-09-19
https://www.texastribune.org/2018/09/18/gentrification-threatens-austins-low-income-residents-and-communities-/,BRANDON FORMBY,"Report says gentrification threatens to displace Austin's low-income residents, communities of color","SEPT. 18, 2018",2018-09-18
https://www.texastribune.org/2018/09/20/george-p-bush-school-land-board-state-board-education/,TEO ARMUS,Land Commissioner George P. Bush fighting with a Texas education board over allocations to fund schools,"SEPT. 20, 2018",2018-09-20
https://www.texastribune.org/2018/09/25/cody-wilson-sexual-assault-defense-distributed-3D-gun/,EMMA PLATOFF,"After sexual assault charges, Cody Wilson resigns from 3D-printed gun company","SEPT. 25, 2018",2018-09-25
